ID,C1,C2,A_0,A_1,A_2,TV1_0,TV1_1,TV1_2,M_0,M_1,M_2,Y_0,Y_1,Y_2
1,0,1,1,1,1,1,1,1,0.447655561,0.597053828,0.418066299,1,1,1
2,1,0,1,1,1,1,1,1,0.16050081,0.417389737,0.495657451,0,0,0
3,0,0,0,0,0,0,1,1,0.121120677,1.338814145,1.090702681,1,1,1
4,1,0,0,0,0,1,1,1,-0.337966501,-0.060994322,0.735128179,1,1,1
5,1,0,0,0,0,0,0,0,0.596166343,1.059594398,0.203347908,1,0,0
6,0,0,0,1,1,0,0,0,-0.183228492,0.037808811,-0.047543511,1,1,1
7,0,1,1,1,1,1,1,1,0.090594061,0.279813128,0.232225243,1,1,1
8,0,1,1,1,1,0,0,0,-0.154761839,-0.042924172,0.133989643,0,1,0
9,0,0,0,0,0,1,1,1,0.954245568,0.276629422,0.094936132,1,1,1
10,1,0,1,1,1,1,1,1,-0.0113931,0.157517588,0.117312476,1,1,1
11,0,1,1,1,1,1,1,0,0.125066061,1.732254628,0.766263643,0,1,1
12,1,1,0,0,0,1,1,1,1.353733561,0.427366668,1.103985743,0,1,1
13,0,1,0,0,0,0,0,1,0.161502261,0.242245628,0.269138443,1,1,1
14,0,1,1,1,1,1,1,1,0.039498461,0.263857728,0.181226043,1,1,1
15,1,0,0,0,1,1,1,1,0.000159761,0.763905328,0.222628343,1,1,1
16,0,0,0,0,0,1,1,1,0.002852561,0.097062328,0.092522143,1,1,1
17,0,0,0,0,1,1,1,0,0.346703041,0.436981678,0.250001443,1,1,1
18,0,0,0,0,0,1,0,1,0.535101161,0.742157928,0.916921843,0,1,1
19,1,1,1,1,1,0,1,1,0.270597711,0.585849728,0.465056873,1,1,1
20,1,1,1,1,1,1,1,1,-0.267218339,-0.051157972,-0.128238157,1,1,1
21,0,1,1,1,1,0,1,0,-0.112847439,0.073112928,0.029821443,1,1,1
22,0,1,0,0,1,0,0,0,0.406120261,0.548788648,0.434280923,0,0,1
23,1,1,1,1,1,0,0,0,0.115069061,0.719720328,0.193647143,1,1,1
24,0,1,1,1,1,0,0,1,0.304662081,-0.161900772,0.959493843,1,0,1
25,0,1,1,1,1,0,1,1,0.031389661,-0.094154572,-0.100508057,1,1,1
26,0,1,1,1,1,1,1,0,0.291521591,0.940849528,0.42184932,1,1,1
27,0,1,1,1,1,1,1,1,0.088103561,0.229871728,-0.178406457,1,1,1
28,0,1,0,0,0,1,1,1,0.302988451,0.198602328,0.424978198,1,1,0
29,1,1,0,0,1,1,0,1,0.255506918,0.357284808,0.405680738,0,0,0
30,0,1,1,1,1,1,1,1,0.106785261,0.273341628,0.201150643,1,1,1
31,0,0,0,0,0,0,0,0,1.472977937,0.723348796,1.521518096,0,1,1
32,0,1,0,0,1,1,0,0,0.560775561,1.423907628,0.844035743,1,1,0
33,0,1,0,0,0,0,0,0,0.168855421,0.274795728,0.241823443,0,0,0
34,0,1,0,0,0,0,0,0,0.163862961,1.403952028,0.980598043,0,1,1
